USBケーブル,USB cable,usb cable,USBケーブル
アーモンド,almond,almond,アーモンド
アイスクリーム,ice cream,ice cream,アイスクリーム
アイロン,clothes iron,iron,鉄
イカ,squid,squid,いか
イヤフォン,earphones,earphones,イヤホン
イルカ,dolphin,dolphin,イルカ
エビ,shrimp,shrimp,エビ
エビフライ,fried shrimp,fried shrimp,エビフライ
オウム,parrot,parrot,鸚鵡
オーブン,oven,oven,オーブン
カエル,frog,frog,カエル
かき氷,shaved ice,shaved ice,かき氷
かご,basket,the basket,バスケット
カセットテープ,cassette tape,cassette tape,カセットテープ
カナッペ,canape,canape,カナッペ
カニ,crab,crab,カニ
かばん,bag,bag,バッグ
カマキリ,mantis,praying mantis,カマキリ
カメラ,camera,camera,カメラ
カラス,crow,crow,烏
カレー,curry,curry,カレー
キーボード,keyboard,keyboard,キーボード
ギター,guitar,guitar,ギター
キツネ,fox,fox,狐
きのこ,mushroom,mushroom,キノコ
クッキー,cookie,cookie,クッキー
クトゥルフ,cthulhu,cthulhu,クトゥルフ
クマ,bear,bear,くま
クリスタル,crystal,crystal,結晶
ケーキ,cake,cake,ケーキ
ゲームオーバー,game over,game over,ゲームオーバー
ゲーム機,game machine,game machine,ゲーム機
コーヒー,coffee,coffee,コーヒー
コーンフレーク,cornflakes,cornflakes,コーンフレーク
ゴミ箱,garbage can,garbage can,ゴミ箱
コンピュータ,computer,computer,コンピューター
さくらんぼ,cherry,cherry,チェリー
サッカーボール,soccer ball,soccer ball,サッカーボール
サボテン,cactus,cactus,カクタス
サメ,shark,shark,鮫
サラダ,salad,salad,サラダ
サンドイッチ,sandwich,sandwich,サンドイッチ
シュークリーム,cream puff,cream puff,シュークリーム
ジョウロ,watering can,watering can,じょうろ
スイカ,watermelon,watermelon,スイカ
ステーキ,steak,steak,ステーキ
ステープラー,stapler,stapler,ステープラー
ストーブ,heater/stove,stove,レンジ
スピーカー,speaker,speaker,スピーカー
スポンジ,sponge,sponge,スポンジ
ゼリー,jelly,jelly,ゼリー
ソファ,sofa,sofa,ソファー
ソフトクリーム,soft cream,soft cream,ソフトクリーム
タコ,octopus,octopus,たこ
タブレットPC,tablet pc,tablet pc,タブレットPC
たまねぎ,onion,onions,玉ねぎ
チーズ,cheese,cheese,チーズ
チューリップ,tulip,tulip,チューリップ
チョコレート,chocolate,chocolate,チョコレート
デイジー,daisy,daisy,デージー
デスクランプ,desk lamp,desk lamp,デスクランプ
テレビ,tv set,tv set,テレビ
てんとう虫,ladybug,ladybug,天道虫
とうもろこし,corn,corn,コーン
トースター,toaster,toaster,トースター
ドーナツ,donut,donut,ドーナツ
トマト,tomato,tomato,トマト
ドライヤー,hairdryer,hairdryer,ヘアドライヤー
ドラゴン,dragon,dragon,ドラゴン
トランペット,trumpet,trumpet,トランペット
とんぼ,dragonfly,dragonfly,トンボ
ナイフ,knife,knife,ナイフ
